filename,var,std,cv,waveRate,skew,kurtosis,peakPos,PVR,category
-1_OK.csv,0.07217654997895691,0.26882272379912897,1.526280217024463,-405.97035088893466,1.9567979544828231,2.807958250600553,247,161.9393939393939,0
-2_OK.csv,0.08044367061412795,0.2838009580458206,1.4272039511891588,-990.0371521036873,1.6864169555460375,1.7401067778234234,249,133.96891191709847,0
02_OK.csv,0.09245852887353437,0.3044039001581586,1.6258168481658313,-129.0580332123296,1.8485811819644795,1.890765003654761,320,470.93999999999994,0
03_OK.csv,0.08899719384427267,0.298651623254423,1.721982455781297,-115.62860681083971,1.9512732113490232,2.2794639368483525,320,470.93999999999994,0
1 (10)_OK.csv,0.04587036970363084,0.2142926428533638,2.642399819533905,-194.25848350425883,3.3365411254559834,10.015414247536466,234,7458.500000000003,0
1 (11)_OK.csv,0.0270458852328513,0.16463695435368564,0.31476898850245116,416.4001432306122,-0.7589301725273432,2.712623615385742,300,-0.9623883403855196,0
1 (12)_OK.csv,0.0215813892612175,0.1470895738465869,2.347120984665744,-567.5739141916102,3.7873601260784535,16.354802835504884,238,-4544.333333333335,0
1 (14)_OK.csv,0.11359711029984011,0.3374627432407757,1.0921080287927196,-112.85967450033914,0.8671303468719891,-0.7936358829491761,252,37.897619047619045,0
1 (15)_OK.csv,0.057521994237383356,0.24010377108917763,2.2254470710287477,-114.11399004615595,2.8849021391323704,7.087702025098224,252,102.20065789473684,0
1 (16)_OK.csv,0.05856222872904798,0.24226212441084735,1.2946606301977097,-682.4837651093302,1.6782201331234496,2.0785547773107798,322,208.15,0
1 (17)_OK.csv,0.020907924584014356,0.14476574076998544,1.4053672154198242,3882.7649199930856,2.4528723690446905,8.531558902767912,296,334.93,0
1 (18)_OK.csv,0.015071732504357673,0.1229033166487229,2.008021041638956,3863.1405555209526,4.54239230427008,25.7508804742753,288,419.89,0
1 (19)_OK.csv,0.12855596965534152,0.3589451902281307,1.1612219872884149,-92.07481284673014,1.0614570155902927,-0.5470223889693986,310,-21.195056179775282,0
1 (20)_OK.csv,0.09167194288047772,0.3032059740791383,1.1515813930465322,-53.42223101905099,1.0604706099505417,-0.15329057368907284,338,968.9148936170211,0
1 (21)_OK.csv,0.07186835332443593,0.2684654381420287,1.0800239257999522,-56.16857947355612,1.007397513628158,-0.2645257177144731,300,-57.58928571428572,0
1 (22)_OK.csv,0.08688075405658467,0.2950827382259637,1.8371395749229182,-61.992041635164114,2.1023507887943453,2.902171935277856,260,86.28124999999999,0
1 (23)_OK.csv,0.09200102958591073,0.3036535465268336,1.429876561235977,-286.9707702803704,1.5195648899826326,1.0520716501414054,236,199.04,0
1 (24)_OK.csv,0.04208570740840373,0.20540428836060054,0.5667480076246714,8309.637698154922,1.4890368505321068,1.6475227477610463,276,-3.957397003745319,0
1 (25)_OK.csv,0.05371193296539983,0.23188706926199432,1.8847566501355957,-415.2194959554711,2.584867610040551,5.625295872572234,261,275.5648854961832,0
1 (26)_OK.csv,0.07329113720123144,0.27087206742748793,1.269785477264774,-1274.4335208015414,1.6243006572865983,1.569397482844411,303,827.0000000000002,0
1 (28)_OK.csv,0.06502295186804224,0.25542062375801944,1.127307495085299,-11.669887789310085,1.4025053120055646,1.0172550958367665,300,34.97534668721109,0
1 (29)_OK.csv,0.0778525039229328,0.2793304664500562,1.4738901873121857,-107.23545406254912,1.8381492349359712,2.249405184512855,246,149.16901408450704,0
1 (30)_OK.csv,0.052707410063636995,0.22972438774805023,1.917351981937471,-337.4287011563894,2.9574718266321627,7.670856728713538,246,96.87311178247735,0
1 (31)_OK.csv,0.04783029398621761,0.21883802652578546,0.9924108068319617,-1543.0132271733871,1.241867465087987,0.8614961261460965,311,-18.150773195876287,0
1 (8)_OK.csv,0.11059363401717773,0.3327409139747506,1.0480269636720618,-369.3856846709771,0.5282697256517276,-1.3696741796205787,289,40.36486486486486,0
1 2VR_OK.csv,0.0032591178592129354,0.057120042957003035,2.2925434702976446,-19787.15069827726,7.812330298266513,104.39541284341321,261,1445.9166666666672,0
1-1 (3)_OK.csv,0.027793432394292245,0.16689672513591416,0.3184288591176514,529.7510713762842,-0.8184055719870545,2.6322784956786887,302,-0.9544646384828129,0
1-1_OK.csv,0.11053578295797646,0.3328384263140547,1.205038237611248,1925.9083847595157,0.9162840463681959,-0.8293409611586422,306,241.28735632183913,0
1.50_OK.csv,0.04244515530431537,0.20616725543401573,1.1962395893429423,-215.87872044706958,1.618952686883771,1.6776080699292457,291,-121.09090909090908,0
1.5h (2)_OK.csv,0.041181236754052566,0.20304431458127384,0.3155640691161987,1385.922983351051,-1.9554479153554114,3.9599803303208017,296,-0.5586199929282215,0
1h (10)_OK.csv,0.03644114740605661,0.19100166902370544,1.5741047079549715,-331.8232359490621,2.2298597277425696,4.951051826839023,231,162.27559055118112,0
1h (11)_OK.csv,0.04047291204502731,0.20129054112724612,0.31104322603254636,1139.4437969356027,-1.9809269895468802,4.051877608770203,295,-0.5445624276583967,0
1h (12)_OK.csv,0.059017704682736316,0.24308738513873923,1.2124403711648404,-289.52587972234727,1.5897431028809748,1.499187793472018,300,-93.65760869565217,0
1h (13)_OK.csv,0.04992838419777309,0.2235693417131123,0.35989940602682396,1027.358812026266,-2.0453321266228954,3.3468539016403387,299,-0.5560356467728867,0
1h (14)_OK.csv,0.03976823492226571,0.19954280620606069,0.5632046689632726,726.6807725343074,1.5923824003583467,2.277152655256746,240,-3.4613194909578033,0
1h (15)_OK.csv,0.04760643507543369,0.2183101718070104,1.4323461844055259,-368.69098271896047,1.9025933018503896,2.9861863506360846,231,59.53243243243243,0
1h (16)_OK.csv,0.061545508517301735,0.24821994469470784,0.992394889730138,10060.876713680496,1.6203165299354216,1.583015154289658,302,-11.874747474747474,0
1h (17)_OK.csv,0.013967886570338157,0.11825965680886733,1.6511400773082079,-78.79101204065991,3.6926985917240986,17.61295143895653,300,131.88888888888889,0
1h (18)_OK.csv,0.012199669662577633,0.11052112580704132,1.7245778391231423,-83.98678431797148,4.097218012139896,21.920504976138307,300,161.9186046511628,0
1h (19)_OK.csv,0.012199669662577633,0.11052112580704132,1.7245778391231423,-83.98678431797148,4.097218012139896,21.920504976138307,300,161.9186046511628,0
1h (2)_OK.csv,0.04795969565580537,0.2191338524175923,0.934419448369403,-669.3952707743298,0.7231925801168769,-0.28340043663277337,294,33.98130841121495,0
1h (20)_OK.csv,0.013967886570338157,0.11825965680886733,1.6511400773082079,-78.79101204065991,3.6926985917240986,17.61295143895653,300,131.88888888888889,0
1h (21)_OK.csv,0.05274588962499436,0.2299925915475976,1.1910252132055519,-52.8068845520278,1.4676502185997,1.8226794679877072,306,75.55607476635514,0
1h (22)_OK.csv,0.02161981389001863,0.14712980915859292,0.3016109560922028,2100.6209078959214,1.4386062072773083,3.7724567851672104,236,-1.378751258811682,0
1h (4)_OK.csv,0.07254252610760618,0.2696330102767827,1.7406613622692122,-96.67584253766391,2.2677511824166308,3.906865307321177,246,1931.0416666666665,0
1h (6)_OK.csv,0.028291331953589304,0.1683053656855042,1.59302578432929,-88.92432149184711,2.437230997892066,6.791066224041105,300,51.22909090909091,0
1h (7)_OK.csv,0.05445887694787809,0.23350826565519095,1.7534209262966307,6834.9776050882165,2.6178347792818832,6.356388713143589,335,427.40999999999997,0
1h (8)_OK.csv,0.06686647062552713,0.2587470844547027,1.6243449014487323,5897.090437025062,2.2733482212180514,4.107874477671115,258,461.23,0
1h (9)_OK.csv,0.04745042924153709,0.21795217810495576,2.094268193611578,20255.71295875309,3.215066735565263,9.664473670710604,334,850.470588235294,0
1h_OK.csv,0.032382365981242854,0.18006344420431208,0.2718510155214614,-26526.103398458956,-1.7410521548450406,5.062538051473588,325,-0.5967731888120601,0
1min (4)_OK.csv,0.03400582411798923,0.18452335750515172,1.2328743107104554,-286.2934349051178,1.8776666689562944,3.168121803996436,226,-54.580357142857146,0
1min_OK.csv,0.0586695312267265,0.24235246975171554,2.0662956472839262,-400.1169786631594,2.5230295689633477,4.8974364905943295,240,432.9,0
1ul 10min_OK.csv,0.05983795076429705,0.24477080749703878,1.190642516539442,4460.948995240124,1.4681461468860433,1.514208016694707,392,459.06,0
1_1-OK.csv,0.01603833240781374,0.12671287534088932,0.21798161924750917,11959.288575852195,0.6186385104581339,3.0234923028301743,308,-0.8651574803149605,0
1_1_OK.csv,0.03764794826136267,0.19424389566932146,0.9845345999655376,-2069.3274848372735,1.2366463207336758,0.886166509854764,270,-20.792792792792795,0
1_OK.csv,0.05410601794092973,0.23286531200750793,1.591542811684623,867.5636284688538,3.040734798663178,7.738155244938444,264,458.68,0
1号样_OK.csv,0.017804968800244157,0.1335921511335154,2.1729792556636434,-56.53408751118136,4.344542354423065,21.804385701896834,250,-313.3589743589744,0
2 (10)_OK.csv,0.038138231495298616,0.19553408161759644,2.3480440875350745,-549.6302729456249,3.3238519323795153,10.933482319058824,252,-1511.8928571428569,0
2 (12)_OK.csv,0.1172637018940257,0.3428656604980451,1.0814131919773657,-112.43247573437482,0.8460615239231234,-0.8568875760226109,254,28.06500445235975,0
2 (13)_OK.csv,0.05900446287752673,0.2431780909254439,2.5798297093816287,-112.16094980364174,2.861848337401207,6.811890919725249,232,211.625,0
2 (15)_OK.csv,0.034764732546761594,0.18665781138853757,1.4450971460565665,-655.8274775617407,2.805205320555349,8.423753332207497,308,59.79432624113474,0
2 (16)_OK.csv,0.009808973066218727,0.09915670931835689,1.489522968422842,6266.079567274238,3.749739518946658,25.05095032052613,290,253.75,0
2 (17)_OK.csv,0.05983687254168045,0.2448874095774441,2.1650550958334294,-74.74273420856373,2.712396897088012,6.205855027270937,256,-240.0265957446809,0
2 (18)_OK.csv,0.10791551540027487,0.3289153450187077,0.9482799594191739,-67.38503072977991,0.801258218225038,-0.9021100955927861,254,-20.326994189117805,0
2 (19)_OK.csv,0.10606560538731688,0.32614207023034886,1.1659913709098915,-31.432789271663534,1.1014980174682298,-0.1725466376451581,390,193.43220338983053,0
2 (20)_OK.csv,0.07523696935517936,0.2746851508996538,1.0636865323872788,-53.79935836366645,1.0364832461033144,-0.18850413486247364,300,-69.75000000000001,0
2 (21)_OK.csv,0.09864079035967477,0.31446365821120564,1.4109498706234471,-49.20356798949009,1.5024044956396492,0.7727098239283494,240,48.430604982206404,0
2 (22)_OK.csv,0.09796702307846422,0.31334442323774353,1.3119342516540136,-299.0562412379874,1.1713164849199817,-0.10217307171764345,306,222.75999999999996,0
2 (23)_OK.csv,0.03750298715649281,0.19389879995601841,0.4853661973182378,-2033.5725192822304,1.353089941689372,1.6116695331633215,276,-3.182376237623762,0
2 (24)_OK.csv,0.05002864677614593,0.22379507179885072,2.238807504080433,-446.3899622057262,2.9000189628401527,7.217765232334841,254,245.7371794871795,0
2 (25)_OK.csv,0.03724229660947604,0.19314338483061014,1.3201493262857182,-47.430773432059475,3.1412423337728477,11.02542602500637,306,26.095541401273884,0
2 (26)_OK.csv,0.064529446897327,0.25444949411160445,1.1346835100213117,-11.096986875494094,1.4098425809332462,1.0450043717595747,300,40.98191681735986,0
2 (27)_OK.csv,0.07904444270677512,0.2814606491570381,1.4212300041123063,-131.303825024349,1.7517024293527197,1.9416477180286167,248,84.61325966850829,0
2 (28)_OK.csv,0.02653548385106711,0.16298763057978582,0.3845366439440059,8079.779135558455,1.5235083240549017,1.987887364790918,308,-2.1053892215568863,0
2 (3)_OK.csv,0.040563180404696836,0.20151366040102214,1.1972795771215086,-526.329951961373,1.9428042964383523,4.392676802134877,308,566.0888888888888,0
2 (4)_OK.csv,0.11446061620423562,0.3386959892427631,1.128994894717419,4497.088634271365,0.7631610379057566,-1.1931568555305465,428,231.23,0
2 (5)_OK.csv,0.09796702307846422,0.31334442323774353,1.3119342516540136,-299.0562412379874,1.1713164849199817,-0.10217307171764345,306,222.75999999999996,0
2 (6)_OK.csv,0.03438971818774915,0.1856505851962819,0.7801144377168593,246.20201184505345,2.8377371094460786,7.767493224360361,246,-5.446285270515144,0
2 (7)_OK.csv,0.09218658150359631,0.3037910647774228,1.0263207172050597,-356.75547724394664,0.469209853946617,-1.422127600346453,287,52.51322751322751,0
2 (9)_OK.csv,0.03132771861499874,0.17719077499639452,0.32206500258742427,332.6299779488903,-1.0073864531227166,2.5424209144118732,302,-0.8464559900017854,0
2 RT_OK.csv,0.034877088733172815,0.1868578097216904,1.5931384817325906,-1248.0998984958126,2.0471301307396876,4.854774513029421,267,217.3333333333333,0
2-19金铜_OK.csv,0.06616977238878544,0.2573777270047008,1.502902705679202,-418.8517530082017,1.8580514651791726,2.377917418220841,247,270.9761904761905,0
2-1_OK.csv,0.013117689159067226,0.11466714573071808,1.3943516495381123,-17200.784272748406,2.818967956086636,13.692354902595163,288,694.8787878787879,0
2-上清液_OK.csv,0.08227514959250992,0.2869957602916644,1.4944949913794798,-128.39711551030524,1.922759330393355,2.670209231497606,230,-9480.799999999992,0
2-沉淀_OK.csv,0.07034803074273877,0.26537934211490877,1.561732290923988,-141.73220579345224,2.249139559602213,4.229156027749675,230,5267.111111111113,0
2.22-4_OK.csv,0.026763855743186397,0.16368748687874352,1.7083002362166695,-101.74471007955417,2.870289966008108,8.603487547887914,223,-1894.3529411764705,0
2.22-5_OK.csv,0.02472161617210619,0.1573184179761532,1.5270615336493203,-224.6548519720025,2.939090209188411,9.970600348697882,222,-81.83716075156576,0
2.26长_OK.csv,0.03932167964523729,0.19842084503598365,1.0966144498255272,-93.47798079903065,1.9895205995267609,3.89411234470232,250,-34.432150313152405,0
2.5h (2)_OK.csv,0.07556466183728579,0.27504126949826435,1.197729884242404,-419.37905116155235,1.0946357734345709,-0.20542895866168154,290,99.83999999999999,0
2.5h_OK.csv,0.04407523888721142,0.21005763822071283,0.31464978832976004,965.8905331913734,-2.120906299524652,4.25886530271265,299,-0.48544292561690044,0
2.5ul 10min_OK.csv,0.08891385423687002,0.29837056918313193,1.264022159190781,5229.385076309177,1.4584275916364369,0.9777748538345867,392,459.06,0
