filename,var,std,cv,waveRate,skew,kurtosis,peakPos,PVR,category
0_OK.csv,0.021466377248138848,0.14659456563490428,0.26848966937039953,415.2877689526957,0.8659327216638404,5.936618958156124,262,-0.9849906984610179,1
1 (13)_complex.csv,0.04290878260812109,0.20740312091345536,2.7032545211901007,6093.0191406792665,3.6554129409316256,12.229125824287033,332,437.35999999999996,1
2-4.csv,0.03946492164011961,0.1987681351551427,2.389724120548157,-460.6146031404319,3.154140821359918,9.329785701004056,238,-479.66249999999985,1
39h.csv,0.029774088982068,0.17276725443359678,3.4565113061920076,-110.11004205407389,4.383031409210202,18.234604676080977,212,-2969.000000000001,1
571.csv,0.08532660399946607,0.2922694156719845,1.981380228221493,-183.23386018227404,2.24292352368896,3.3610923160508506,254,73.73469387755104,1
580.csv,0.0983955781372495,0.3138766837627814,1.5858400533173997,-80.02448775960555,1.985984426813751,2.275469239754176,212,-24.422462648119527,1
612.csv,0.041523117300014845,0.2038853945161714,1.999775778299947,5023.195103142873,3.4018779084873785,11.081757150555553,333,457.8299999999999,1
685.csv,0.06952603895315519,0.2638227457854289,1.7682109805289905,-116.80526832921456,2.178775317761867,3.7636019713876454,248,460.20000000000005,1
Ag-complex_OK.csv,0.08518710453710286,0.2920767029407298,2.3060184767458005,-79.68045895357804,2.1767551766580464,2.9398973098127827,358,55.403565640194486,1
Ag-TBBTcomplex_OK.csv,0.12644466266998658,0.3558127576385142,1.671294285271607,-222.02178177591816,1.371420777923399,0.07038308550893113,355,260.96062992125985,1
Ag6complex_OK.csv,0.10484256391170504,0.323996322689926,1.695015274219145,-277.12581273680394,1.6308721029256386,1.035538609220037,248,-1313.2399999999998,1
Au13上清液.csv,0.09936422974518146,0.315395996241072,2.0363728389263676,-164.95510702972118,1.9254987198104643,1.9085428743588206,305,35.37735849056604,1
cu-admsh_OK.csv,0.06175599949821743,0.24868498618662818,1.9494613949077413,-32.76211873984017,2.502669842580231,5.067455159850187,314,35.606948968512484,1
Cu11complex_OK.csv,0.08132030167005534,0.2853255291080696,1.863197854396094,-290.84944002105436,1.7702525417636275,1.3374799157860684,317,-619.6923076923078,1
Pt-L150mg.csv,0.08884681070379531,0.2982373708681645,2.0078461030262442,-109.06638334871526,1.938178565927518,2.2320523284814016,254,101.47309417040357,1
Sample-1 (7).csv,0.017854381607987222,0.13378721000905577,1.0716280566833225,-141.12987231140357,1.3399086389904173,4.42634698941346,200,43.838709677419345,1
Sample-1 (8).csv,0.058173055811041076,0.24149221198740278,1.0389542472405406,-185.75212451792703,0.3925753552555157,-1.4662045083405044,200,4.88,1
Sample-1 (9).csv,0.09012286646882128,0.30057972924832,1.3087588841631754,-286.0407196205619,1.0483893068668209,-0.3397522707844156,311,27.61363636363636,1
Sample-2 (10).csv,0.030924249340995025,0.17607259856192137,2.556770942884956,-91.01689210623067,3.6037842399148103,12.84072704340289,200,18.27338129496403,1
Sample-3 (8).csv,0.029593909568242482,0.17224370624833607,2.4326267576477645,-76.95485802498168,3.7129559127934284,13.722006472950948,200,14.34,1
Sample-4 (7).csv,0.029782753293483427,0.17279239039007804,2.725701913940777,-89.64648361846841,3.779656859443263,14.128840892648174,200,12.482905982905983,1
Sample-7 (6).csv,0.03096109476063528,0.17617746024261124,1.9420771873008436,-52.72748873213605,3.372367739642071,11.44659200962362,200,11.782608695652174,1
Sample-8 (2).csv,0.030800721787957234,0.17572058386093284,2.0376804496109933,-58.61247565522624,3.474417721412859,12.102855898059914,200,13.138075313807533,1
Sample-8-T.csv,0.049602173407873075,0.22285460759121162,1.8959069609908654,-149.54610340325794,2.5462422033118917,6.083546595540213,308,775.6101694915255,1
Sample-9 (2).csv,0.03043915882284797,0.17468616636673062,1.9834411228721687,-52.593506621778936,3.4514707188739364,11.906937700662093,200,11.744274809160304,1
Sample-9 (4).csv,0.03043915882284797,0.17468616636673062,1.9834411228721687,-52.593506621778936,3.4514707188739364,11.906937700662093,200,11.744274809160304,1
产物.csv,0.03198788959807911,0.17894982851377636,1.8771207211055563,-37910.0097238252,3.0627425972089695,9.609563404547353,271,-263.7058823529412,1
苯乙.csv,0.037797828159001484,0.19463016289568658,1.8585755305625296,3923.371277871974,3.475272902375874,12.023748342556829,252,465.42,1
